time	T1	T2	T3
2019-10-13T01:59:55	25	402	402
2019-10-13T02:00:05	25	401	402
2019-10-13T02:00:15	25	402	402
2019-10-13T02:00:25	25	401	402
2019-10-13T02:00:35	25	402	402
2019-10-13T02:00:45	25	401	402
2019-10-13T02:00:55	25	401	402
2019-10-13T02:01:05	25	401	402
2019-10-13T02:01:15	25	401	402
2019-10-13T02:01:25	25	402	402
2019-10-13T02:01:35	25	402	402
2019-10-13T02:01:45	25	402	402
2019-10-13T02:01:55	25	402	402
2019-10-13T02:02:05	25	402	402
2019-10-13T02:02:15	25	401	402
2019-10-13T02:02:25	25	402	402
2019-10-13T02:02:35	25	402	402
2019-10-13T02:02:45	25	401	402
2019-10-13T02:02:55	25	402	402
2019-10-13T02:03:05	25	402	402
2019-10-13T02:03:15	25	402	402
2019-10-13T02:03:25	25	402	402
2019-10-13T02:03:35	25	402	402
2019-10-13T02:03:45	25	402	402
2019-10-13T02:03:55	25	401	402
2019-10-13T02:04:05	25	401	402
2019-10-13T02:04:15	25	402	402
2019-10-13T02:04:25	25	402	402
2019-10-13T02:04:35	25	402	402
2019-10-13T02:04:45	25	402	402
2019-10-13T02:04:55	25	402	402
2019-10-13T02:05:05	25	402	402
2019-10-13T02:05:15	25	402	402
2019-10-13T02:05:25	25	402	402
2019-10-13T02:05:35	25	402	402
2019-10-13T02:05:45	25	402	402
2019-10-13T02:05:55	25	402	402
2019-10-13T02:06:05	25	402	402
2019-10-13T02:06:15	25	402	402
2019-10-13T02:06:25	25	402	402
2019-10-13T02:06:35	25	402	402
2019-10-13T02:06:45	25	402	402
2019-10-13T02:06:55	25	402	402
2019-10-13T02:07:05	25	402	402
2019-10-13T02:07:15	25	401	402
2019-10-13T02:07:25	25	402	402
2019-10-13T02:07:35	25	402	402
2019-10-13T02:07:45	25	401	402
2019-10-13T02:07:55	25	401	402
2019-10-13T02:08:05	25	402	402
2019-10-13T02:08:15	25	401	402
2019-10-13T02:08:25	25	401	402
2019-10-13T02:08:35	25	402	402
2019-10-13T02:08:45	25	402	402
2019-10-13T02:08:55	25	402	402
2019-10-13T02:09:05	25	401	402
2019-10-13T02:09:15	25	401	402
2019-10-13T02:09:25	25	401	402
2019-10-13T02:09:35	25	402	402
2019-10-13T02:09:45	25	402	402
2019-10-13T02:09:55	25	401	402
2019-10-13T02:10:05	25	401	402
2019-10-13T02:10:15	25	401	402
2019-10-13T02:10:25	25	401	402
2019-10-13T02:10:35	25	401	402
2019-10-13T02:10:45	25	401	402
2019-10-13T02:10:55	25	401	402
2019-10-13T02:11:05	25	401	402
2019-10-13T02:11:15	25	402	402
2019-10-13T02:11:25	25	402	402
2019-10-13T02:11:35	25	401	402
2019-10-13T02:11:45	25	401	402
2019-10-13T02:11:55	25	401	402
2019-10-13T02:12:05	25	401	402
2019-10-13T02:12:15	25	402	402
2019-10-13T02:12:25	25	401	402
2019-10-13T02:12:35	25	401	402
2019-10-13T02:12:45	25	401	402
2019-10-13T02:12:55	25	401	402
2019-10-13T02:13:05	25	401	402
2019-10-13T02:13:15	25	401	402
2019-10-13T02:13:25	25	402	402
2019-10-13T02:13:35	25	402	402
2019-10-13T02:13:45	25	402	402
2019-10-13T02:13:55	25	402	402
2019-10-13T02:14:05	25	402	402
2019-10-13T02:14:15	25	401	402
2019-10-13T02:14:25	25	402	402
2019-10-13T02:14:35	25	402	402
2019-10-13T02:14:45	25	402	402
2019-10-13T02:14:55	25	402	402
2019-10-13T02:15:05	25	402	402
2019-10-13T02:15:15	25	401	402
2019-10-13T02:15:25	25	401	402
2019-10-13T02:15:35	25	402	402
2019-10-13T02:15:45	25	401	402
2019-10-13T02:15:55	25	401	402
2019-10-13T02:16:05	25	402	402
2019-10-13T02:16:15	25	402	402
2019-10-13T02:16:25	25	402	402
2019-10-13T02:16:35	25	402	402
2019-10-13T02:16:45	25	402	402
2019-10-13T02:16:55	25	401	402
2019-10-13T02:17:05	25	401	402
2019-10-13T02:17:15	25	401	402
2019-10-13T02:17:25	25	402	402
2019-10-13T02:17:35	25	402	402
2019-10-13T02:17:45	25	402	402
2019-10-13T02:17:55	25	402	402
2019-10-13T02:18:05	25	402	402
2019-10-13T02:18:15	25	402	402
2019-10-13T02:18:25	25	402	402
2019-10-13T02:18:35	25	401	402
2019-10-13T02:18:45	25	401	402
2019-10-13T02:18:55	25	402	402
2019-10-13T02:19:05	25	402	402
2019-10-13T02:19:15	25	402	402
2019-10-13T02:19:25	25	402	402
2019-10-13T02:19:35	25	402	402
2019-10-13T02:19:45	25	402	402
2019-10-13T02:19:55	25	402	402
2019-10-13T02:20:05	25	402	402
2019-10-13T02:20:15	25	402	402
2019-10-13T02:20:25	25	402	402
2019-10-13T02:20:35	25	402	402
2019-10-13T02:20:45	25	402	402
2019-10-13T02:20:55	25	402	402
2019-10-13T02:21:05	25	402	402
2019-10-13T02:21:15	25	402	402
2019-10-13T02:21:25	25	402	402
2019-10-13T02:21:35	25	402	402
2019-10-13T02:21:45	25	402	402
2019-10-13T02:21:55	25	402	402
2019-10-13T02:22:05	25	402	402
2019-10-13T02:22:15	25	402	402
2019-10-13T02:22:25	25	402	402
2019-10-13T02:22:35	25	402	402
2019-10-13T02:22:45	25	402	402
2019-10-13T02:22:55	25	402	402
