Время	T01	T02	T03	T04	T05	T06	T07	T08	T09	P	N2
1543925406220	-1	3	6	2	4	3	2	2	3	143	1
1543925416219	-1	3	5	2	4	3	2	2	3	143	1
1543925426220	-1	3	6	2	4	3	2	2	3	143	1
1543925436221	-1	3	6	2	4	3	2	2	3	143	1
1543925446222	-1	3	6	2	4	3	2	2	3	143	1
1543925456223	-1	3	6	2	4	3	2	2	3	143	1
1543925466223	-1	3	6	2	4	3	2	2	3	143	1
1543925476224	-1	3	6	2	4	3	2	2	3	143	1
1543925486226	-1	3	6	2	4	3	2	2	3	143	1
1543925496227	-1	3	6	2	4	3	2	2	3	143	1
1543925506228	-1	3	6	2	4	3	2	2	3	144	1
1543925516229	-1	3	5	2	4	3	2	2	3	144	1
1543925526230	-1	3	6	2	4	3	2	2	3	144	1
1543925536230	-1	3	6	2	4	3	2	2	3	144	1
1543925546231	-1	3	6	2	4	3	2	2	3	144	1
1543925556233	-1	3	6	2	4	3	2	2	3	144	1
1543925566233	-1	3	6	2	4	3	2	2	3	144	1
1543925576233	-1	3	6	2	4	3	2	2	3	144	1
1543925586235	-1	3	6	2	4	3	2	2	3	144	1
1543925596237	-1	3	6	2	4	3	2	2	3	144	1
1543925606237	-1	3	6	2	4	3	2	2	3	144	1
1543925616239	-1	3	6	2	4	3	2	2	3	144	1
1543925626240	-1	3	6	2	4	3	2	2	3	144	1
1543925636241	-1	3	6	2	4	3	2	2	3	144	1
1543925646242	-1	3	6	2	4	3	2	2	3	144	1
1543925656243	-1	3	6	2	4	3	2	2	3	144	1
1543925666242	-1	3	6	2	4	3	2	2	3	144	1
1543925676244	-1	3	6	2	4	3	2	2	3	144	1
1543925686246	-1	3	6	2	4	3	2	2	3	144	1
1543925696247	-1	3	6	2	4	3	2	2	3	145	1
1543925706247	-1	3	6	2	4	3	2	2	3	145	1
1543925716247	-1	3	6	3	4	3	2	2	3	145	1
1543925726247	-1	3	6	3	4	3	2	2	3	145	1
1543925736248	-1	3	6	2	4	3	2	2	3	145	1
1543925746249	-1	3	5	2	4	3	2	2	3	145	1
1543925756251	-1	3	6	2	4	3	2	2	3	145	1
1543925766252	-1	3	6	2	4	3	2	2	3	145	1
1543925776253	-1	3	7	2	4	3	2	2	3	145	1
1543925786254	-1	3	6	2	4	3	2	2	3	145	1
1543925796255	-1	3	6	2	4	3	2	2	3	145	1
1543925806255	-1	3	6	2	4	3	2	2	3	145	1
1543925816255	-1	3	6	2	4	3	2	2	3	145	1
1543925826257	-1	3	6	2	4	3	2	2	3	145	1
1543925836257	-1	3	6	2	4	3	2	2	3	145	1
1543925846257	-1	3	6	2	4	3	2	2	3	145	1
1543925856258	-1	3	6	2	4	3	2	2	3	145	1
